Species,Age,MalaiseDate,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Actia pilipennis,2022,04Jun2022,CAS0000330,0.0,1.0,0.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000331,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000332,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,04Jun2022,CAS0000333,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000334,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000335,0.0,1.0,1.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000336,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,04Jun2022,CAS0000337,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000338,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000339,0.0,1.0,1.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000340,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000341,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,04Jun2022,CAS0000342,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000343,0.0,0.0,1.0,1.0
,2022,04Jun2022,CAS0000344,1.0,0.0,0.0,1.0
Siphona pauciseta,2022,04Jun2022,CAS0000345,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000346,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000347,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000348,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000349,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000350,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000351,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000352,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000353,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000354,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,04Jun2022,CAS0000355,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000356,0.0,0.0,1.0,1.0
Clausicella suturata,2022,04Jun2022,CAS0000357,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000358,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000359,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,04Jun2022,CAS0000360,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000361,0.0,1.0,0.0,1.0
Siphona geniculata,2022,04Jun2022,CAS0000362,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000363,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000364,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,04Jun2022,CAS0000365,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000366,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000367,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000368,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000369,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000370,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000371,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000372,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000373,1.0,0.0,1.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000374,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000375,0.0,1.0,1.0,0.0
Siphona pauciseta,2022,04Jun2022,CAS0000376,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000377,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000378,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000379,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000380,0.0,0.0,1.0,1.0
Siphona pauciseta,2022,04Jun2022,CAS0000381,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000382,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000383,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000384,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000385,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000386,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000387,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000388,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000389,1.0,1.0,0.0,0.0
Peribaea tibialis,2022,04Jun2022,CAS0000390,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000391,0.0,1.0,0.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000392,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000393,1.0,1.0,0.0,0.0
,2022,21Jun2022,CAS0000394,1.0,0.0,1.0,0.0
,2022,21Jun2022,CAS0000395,0.0,0.0,1.0,1.0
,2022,21Jun2022,CAS0000396,1.0,0.0,0.0,1.0
,2022,21Jun2022,CAS0000397,0.0,0.0,1.0,1.0
,2022,,CAS0000398,,,,
,2022,,CAS0000399,,,,
,2022,,CAS0000400,,,,
,2022,,CAS0000401,,,,
,2022,,CAS0000402,,,,
,2022,,CAS0000403,,,,
,2022,,CAS0000404,,,,
,2022,,CAS0000405,,,,
,2022,,CAS0000406,,,,
,2022,,CAS0000407,,,,
,2022,,CAS0000408,,,,
,2022,,CAS0000409,,,,
,2022,,CAS0000410,,,,
,2022,,CAS0000411,,,,
,2022,,CAS0000412,,,,
,2022,,CAS0000413,,,,
,2022,,CAS0000414,,,,
,2022,,CAS0000415,,,,
,2022,,CAS0000416,,,,
,2022,,CAS0000417,,,,
,2022,,CAS0000418,,,,
,2022,,CAS0000419,,,,
,2022,,CAS0000420,,,,
,2022,,CAS0000421,,,,
,2022,,CAS0000422,,,,
,2022,,CAS0000423,,,,
,2022,,CAS0000424,,,,
,2022,,CAS0000425,,,,
,2022,,CAS0000426,,,,
,2022,,CAS0000427,,,,
,2022,,CAS0000428,,,,
,2022,,CAS0000429,,,,
,2022,,CAS0000430,,,,
,2022,,CAS0000431,,,,
,2022,,CAS0000432,,,,
,2022,,CAS0000433,,,,
,2022,,CAS0000434,,,,
,2022,,CAS0000435,,,,
,2022,,CAS0000436,,,,
,2022,,CAS0000437,,,,
,2022,,CAS0000438,,,,
,2022,,CAS0000439,,,,
,2022,,CAS0000440,,,,
,2022,,CAS0000441,,,,
,2022,,CAS0000442,,,,
,2022,,CAS0000443,,,,
,2022,,CAS0000444,,,,
,2022,,CAS0000445,,,,
,2022,,CAS0000446,,,,
,2022,,CAS0000447,,,,
,2022,,CAS0000448,,,,
,2022,,CAS0000449,,,,
,2022,,CAS0000450,,,,
,2022,,CAS0000451,,,,
,2022,,CAS0000452,,,,
,2022,,CAS0000453,,,,
,2022,,CAS0000454,,,,
,2022,,CAS0000455,,,,
,2022,,CAS0000456,,,,
,2022,,CAS0000457,,,,
,2022,,CAS0000458,,,,
,2022,,CAS0000459,,,,
,2022,,CAS0000460,,,,
,2022,,CAS0000461,,,,
,2022,,CAS0000462,,,,
,2022,,CAS0000463,,,,
,2022,,CAS0000464,,,,
,2022,,CAS0000465,,,,
,2022,,CAS0000466,,,,
,2022,,CAS0000467,,,,
,2022,,CAS0000468,,,,
,2022,,CAS0000469,,,,
,2022,,CAS0000470,,,,
,2022,,CAS0000471,,,,
,2022,,CAS0000472,,,,
,2022,,CAS0000473,,,,
,2022,,CAS0000474,,,,
,2022,,CAS0000475,,,,
